0 0:0.024078 1:0.000000 2:0.012116 3:0.000000 4:0.000000 5:0.008832 6:0.000000 7:0.003071 8:0.000000 9:0.000000 10:0.011425 11:0.000000 12:0.000000 13:0.001681 14:0.007617 15:0.000000 16:0.000000 17:0.000000 18:0.003708 19:0.019815 20:0.000000 21:0.023514 22:0.035420 23:0.001652 24:0.000000 25:0.000000 26:0.009626 27:0.038553 28:0.070575 29:0.038553 30:0.000000 31:0.000000 32:0.000000 33:0.084609 34:0.031720 35:0.000000 36:0.208053 37:0.029722 38:0.007830 39:0.000000 40:0.000000 41:0.016795 42:0.000000 43:0.005042 44:0.026659 45:0.019036 46:0.000000 47:0.000000 48:0.089958 49:0.217567 50:0.001652 51:0.015090 52:0.000000 53:0.024078 54:0.012116 55:0.000000 56:0.003071 57:0.000000 58:0.011425 59:0.001652 60:0.070575 61:0.038553 62:0.000000 63:0.208053 64:0.000000 65:0.000000 66:0.005042 67:0.026659 68:0.089958 69:0.008855 70:0.003006 71:0.003477 72:0.000000 73:0.024078 74:0.012116 75:0.003071 76:0.000000 77:0.001652 78:0.000000 79:0.051405 80:0.057675 81:0.004957 82:0.223675 83:0.004759 84:0.000000 85:0.000000 86:0.000000 87:0.003708 88:0.001652 89:0.031720 90:0.001652 91:0.015090 92:0.000000 93:0.009907 
0 0:0.126180 1:0.000000 2:0.029631 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.037552 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.020549 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.041074 22:0.000000 23:0.020204 24:0.000000 25:0.000000 26:0.039236 27:0.000000 28:0.000000 29:0.157141 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.181716 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.020549 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.020204 51:0.000000 52:0.000000 53:0.126180 54:0.029631 55:0.000000 56:0.037552 57:0.000000 58:0.000000 59:0.020204 60:0.000000 61:0.157141 62:0.000000 63:0.181716 64:0.000000 65:0.000000 66:0.020549 67:0.000000 68:0.000000 69:0.000000 70:0.036759 71:0.021258 72:0.000000 73:0.126180 74:0.029631 75:0.037552 76:0.000000 77:0.020204 78:0.000000 79:0.052380 80:0.035262 81:0.020204 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.020204 89:0.000000 90:0.020204 91:0.000000 92:0.000000 93:0.060572 
0 0:0.000000 1:0.000000 2:0.034411 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:0.043610 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 13:0.023864 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.023463 24:0.314361 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.042689 43:0.023864 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.023463 51:0.035715 52:0.000000 53:0.000000 54:0.034411 55:0.000000 56:0.043610 57:0.000000 58:0.000000 59:0.023463 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 65:0.000000 66:0.023864 67:0.000000 68:0.000000 69:0.000000 70:0.042689 71:0.024687 72:0.000000 73:0.000000 74:0.034411 75:0.043610 76:0.000000 77:0.023463 78:0.000000 79:0.000000 80:0.000000 81:0.023463 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.000000 87:0.000000 88:0.023463 89:0.000000 90:0.023463 91:0.035715 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.052225 3:0.064789 4:0.000000 5:0.063445 6:0.000000 7:0.000000 8:0.000000 9:0.082077 10:0.000000 11:0.000000 12:0.425059 13:0.036218 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.035609 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.296442 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.036218 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.173665 50:0.035609 51:0.000000 52:0.000000 53:0.000000 54:0.052225 55:0.064789 56:0.000000 57:0.000000 58:0.000000 59:0.035609 60:0.000000 61:0.000000 62:0.296442 63:0.000000 64:0.000000 65:0.000000 66:0.036218 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.037468 72:0.000000 73:0.000000 74:0.052225 75:0.000000 76:0.000000 77:0.035609 78:0.000000 79:0.000000 80:0.000000 81:0.035609 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.064789 87:0.000000 88:0.035609 89:0.000000 90:0.035609 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.036725 3:0.022780 4:0.000000 5:0.022307 6:0.000000 7:0.000000 8:0.000000 9:0.028859 10:0.000000 11:0.000000 12:0.000000 13:0.038203 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.012520 24:0.000000 25:0.000000 26:0.024315 27:0.000000 28:0.000000 29:0.032461 30:0.000000 31:0.138973 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.012734 44:0.000000 45:0.396687 46:0.000000 47:0.000000 48:0.000000 49:0.030531 50:0.012520 51:0.000000 52:0.000000 53:0.000000 54:0.036725 55:0.022780 56:0.000000 57:0.000000 58:0.000000 59:0.012520 60:0.000000 61:0.032461 62:0.138973 63:0.000000 64:0.000000 65:0.000000 66:0.012734 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.013174 72:0.000000 73:0.000000 74:0.036725 75:0.000000 76:0.000000 77:0.012520 78:0.000000 79:0.032461 80:0.021852 81:0.012520 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.022780 87:0.000000 88:0.012520 89:0.000000 90:0.012520 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.052331 3:0.064921 4:0.000000 5:0.063574 6:0.000000 7:0.000000 8:0.000000 9:0.082245 10:0.000000 11:0.000000 12:0.283950 13:0.036292 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.035682 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.297045 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.072541 42:0.000000 43:0.036292 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.087009 50:0.035682 51:0.000000 52:0.000000 53:0.000000 54:0.052331 55:0.064921 56:0.000000 57:0.000000 58:0.000000 59:0.035682 60:0.000000 61:0.000000 62:0.297045 63:0.000000 64:0.000000 65:0.000000 66:0.036292 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.037544 72:0.000000 73:0.000000 74:0.052331 75:0.000000 76:0.000000 77:0.035682 78:0.000000 79:0.000000 80:0.000000 81:0.035682 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.064921 87:0.000000 88:0.035682 89:0.000000 90:0.035682 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.044062 3:0.054661 4:0.000000 5:0.053528 6:0.000000 7:0.055840 8:0.000000 9:0.069248 10:0.000000 11:0.000000 12:0.000000 13:0.030557 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.061078 22:0.000000 23:0.030043 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.250104 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.090072 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.030557 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.030043 51:0.000000 52:0.000000 53:0.000000 54:0.044062 55:0.054661 56:0.055840 57:0.000000 58:0.000000 59:0.030043 60:0.000000 61:0.000000 62:0.250104 63:0.090072 64:0.000000 65:0.000000 66:0.030557 67:0.000000 68:0.000000 69:0.080504 70:0.054661 71:0.031611 72:0.000000 73:0.000000 74:0.044062 75:0.055840 76:0.000000 77:0.030043 78:0.000000 79:0.000000 80:0.000000 81:0.030043 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.054661 87:0.000000 88:0.030043 89:0.000000 90:0.030043 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.029833 3:0.037009 4:0.000000 5:0.036242 6:0.000000 7:0.000000 8:0.000000 9:0.046885 10:0.000000 11:0.000000 12:0.000000 13:0.020689 14:0.093770 15:0.000000 16:0.000000 17:0.000000 18:0.000000 19:0.000000 20:0.000000 21:0.000000 22:0.000000 23:0.020341 24:0.000000 25:0.000000 26:0.000000 27:0.052737 28:0.051109 29:0.000000 30:0.000000 31:0.225782 32:0.000000 33:0.000000 34:0.043389 35:0.000000 36:0.243938 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.020689 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.049601 50:0.020341 51:0.000000 52:0.000000 53:0.000000 54:0.029833 55:0.037009 56:0.000000 57:0.000000 58:0.000000 59:0.020341 60:0.051109 61:0.000000 62:0.225782 63:0.243938 64:0.000000 65:0.000000 66:0.020689 67:0.000000 68:0.000000 69:0.000000 70:0.000000 71:0.021403 72:0.000000 73:0.000000 74:0.029833 75:0.000000 76:0.000000 77:0.020341 78:0.000000 79:0.000000 80:0.035502 81:0.020341 82:0.234354 83:0.000000 84:0.000000 85:0.000000 86:0.037009 87:0.000000 88:0.020341 89:0.043389 90:0.020341 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.024930 3:0.030927 4:0.000000 5:0.030286 6:0.000000 7:0.000000 8:0.053232 9:0.039180 10:0.000000 11:0.000000 12:0.000000 13:0.017289 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.114449 19:0.000000 20:0.000000 21:0.069115 22:0.000000 23:0.016998 24:0.000000 25:0.000000 26:0.033011 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.141508 32:0.000000 33:0.041450 34:0.000000 35:0.000000 36:0.000000 37:0.203849 38:0.080554 39:0.000000 40:0.000000 41:0.138231 42:0.000000 43:0.017289 44:0.039180 45:0.146881 46:0.000000 47:0.152887 48:0.088140 49:0.041450 50:0.016998 51:0.000000 52:0.000000 53:0.000000 54:0.024930 55:0.030927 56:0.000000 57:0.053232 58:0.000000 59:0.016998 60:0.000000 61:0.000000 62:0.141508 63:0.000000 64:0.000000 65:0.000000 66:0.017289 67:0.039180 68:0.088140 69:0.000000 70:0.000000 71:0.017885 72:0.000000 73:0.000000 74:0.024930 75:0.000000 76:0.053232 77:0.016998 78:0.000000 79:0.176280 80:0.118670 81:0.016998 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.030927 87:0.114449 88:0.016998 89:0.000000 90:0.016998 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.022591 3:0.028026 4:0.000000 5:0.027445 6:0.000000 7:0.000000 8:0.000000 9:0.035504 10:0.000000 11:0.000000 12:0.000000 13:0.015667 14:0.071009 15:0.000000 16:0.000000 17:0.000000 18:0.034571 19:0.000000 20:0.000000 21:0.031316 22:0.000000 23:0.015404 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.039936 30:0.000000 31:0.128232 32:0.000000 33:0.037561 34:0.000000 35:0.000000 36:0.000000 37:0.000000 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.015667 44:0.000000 45:0.133101 46:0.000000 47:0.000000 48:0.239614 49:0.037561 50:0.015404 51:0.000000 52:0.000000 53:0.000000 54:0.022591 55:0.028026 56:0.000000 57:0.000000 58:0.000000 59:0.015404 60:0.000000 61:0.039936 62:0.128232 63:0.000000 64:0.000000 65:0.000000 66:0.015667 67:0.000000 68:0.239614 69:0.000000 70:0.000000 71:0.016207 72:0.000000 73:0.000000 74:0.022591 75:0.000000 76:0.000000 77:0.015404 78:0.000000 79:0.000000 80:0.000000 81:0.015404 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.028026 87:0.034571 88:0.015404 89:0.000000 90:0.015404 91:0.000000 92:0.000000 93:0.000000 
0 0:0.000000 1:0.000000 2:0.026825 3:0.033278 4:0.000000 5:0.032588 6:0.000000 7:0.000000 8:0.000000 9:0.042158 10:0.000000 11:0.000000 12:0.000000 13:0.018603 14:0.000000 15:0.000000 16:0.000000 17:0.000000 18:0.041050 19:0.219346 20:0.000000 21:0.037185 22:0.000000 23:0.018290 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.152265 32:0.000000 33:0.000000 34:0.039015 35:0.000000 36:0.000000 37:0.274182 38:0.000000 39:0.000000 40:0.000000 41:0.000000 42:0.000000 43:0.018603 44:0.042158 45:0.263411 46:0.000000 47:0.164509 48:0.094841 49:0.044601 50:0.018290 51:0.000000 52:0.000000 53:0.000000 54:0.026825 55:0.033278 56:0.000000 57:0.000000 58:0.000000 59:0.018290 60:0.000000 61:0.000000 62:0.152265 63:0.000000 64:0.000000 65:0.000000 66:0.018603 67:0.042158 68:0.094841 69:0.000000 70:0.000000 71:0.019245 72:0.000000 73:0.000000 74:0.026825 75:0.000000 76:0.000000 77:0.018290 78:0.000000 79:0.000000 80:0.031923 81:0.018290 82:0.000000 83:0.000000 84:0.000000 85:0.000000 86:0.033278 87:0.041050 88:0.018290 89:0.039015 90:0.018290 91:0.000000 92:0.000000 93:0.000000 
